activity_year,county_code,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,loan_purpose,loan_amount,loan_term,income,applicant_age,denial_reason-1
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,32,365000.0,360,93.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,32,325000.0,360,82.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,1,295000.0,360,137.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,32,95000.0,180,41.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,0,32,1125000.0,360,477.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,32,355000.0,360,91.0,65-74,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,32,105000.0,360,33.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,32,265000.0,360,57.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,32,285000.0,180,106.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,495000.0,360,306.0,45-54,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,32,145000.0,360,137.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,32,115000.0,180,97.0,55-64,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,32,165000.0,360,60.0,35-44,3
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Sex Not Available,3,0,1,125000.0,360,27.0,35-44,5
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,32,75000.0,180,38.0,35-44,4
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,0,1,765000.0,360,295.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,32,185000.0,120,154.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,32,265000.0,360,435.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,31,245000.0,360,123.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,32,225000.0,360,76.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,4,75000.0,360,41.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,4,155000.0,360,121.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,255000.0,360,140.0,45-54,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,1,85000.0,360,,8888,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,1,285000.0,360,,8888,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,32,225000.0,360,43.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,9,31,535000.0,240,269.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,31,325000.0,360,50.0,>74,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,5,0,31,275000.0,360,20.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,31,415000.0,240,285.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,32,185000.0,180,103.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,32,105000.0,360,91.0,>74,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,32,185000.0,180,103.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,4,0,32,175000.0,120,80.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,3,0,32,245000.0,360,26.0,45-54,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,32,105000.0,360,91.0,>74,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,32,225000.0,360,43.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,32,165000.0,360,39.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,3,0,32,45000.0,120,15.0,55-64,4
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,32,115000.0,240,48.0,55-64,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,32,415000.0,360,169.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Female,2,0,31,95000.0,180,32.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,4,0,32,205000.0,360,52.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,31,95000.0,180,34.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,32,605000.0,360,250.0,35-44,3
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,4,0,32,385000.0,360,120.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,31,45000.0,360,52.0,45-54,3
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,3,0,32,155000.0,360,29.0,55-64,3
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,32,155000.0,120,104.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,32,375000.0,360,149.0,55-64,3
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,1,405000.0,180,131.0,65-74,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,4,0,32,115000.0,360,31.0,65-74,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,4,0,32,115000.0,360,32.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,685000.0,360,250.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,32,185000.0,360,53.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,31,495000.0,Exempt,,8888,1111
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,1,475000.0,Exempt,,8888,1111
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,31,55000.0,360,184.0,55-64,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,25000.0,240,150.0,35-44,3
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,55000.0,60,295.0,35-44,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,0,2,105000.0,360,312.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,8,31,85000.0,360,69.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,8,1,95000.0,180,46.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,8,31,425000.0,360,231.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,8,31,335000.0,240,139.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,1,355000.0,360,163.0,35-44,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,8,32,195000.0,240,148.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,635000.0,360,334.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,8,1,135000.0,180,111.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,8,1,275000.0,180,108.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,0,1,145000.0,360,22.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,1,535000.0,360,135.0,45-54,7
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,31,85000.0,360,165.0,55-64,1
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,1,71,4,5000.0,180,21.0,55-64,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,4,35000.0,240,103.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,195000.0,360,62.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,1,235000.0,360,76.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,1,1195000.0,120,347.0,35-44,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,5,0,32,205000.0,360,46.0,65-74,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,75000.0,240,236.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,5,0,1,345000.0,360,156.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,32,85000.0,120,96.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,385000.0,360,173.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,1,165000.0,360,32.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,1,155000.0,360,44.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,95000.0,180,45.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,1,185000.0,360,171.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,345000.0,360,80.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,31,265000.0,360,236.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,195000.0,180,193.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,335000.0,360,127.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,31,325000.0,180,126.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,165000.0,360,67.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,6,1,425000.0,360,121.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,425000.0,360,355.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,185000.0,360,122.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,71,1,155000.0,360,239.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,31,425000.0,360,,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,31,125000.0,120,57.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,6,1,135000.0,360,82.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,235000.0,360,63.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,1,175000.0,360,38.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,365000.0,360,207.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,31,525000.0,360,187.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,335000.0,180,85.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,31,435000.0,360,170.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,605000.0,360,220.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,395000.0,360,156.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,305000.0,360,86.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,6,1,675000.0,360,242.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,235000.0,360,82.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,31,205000.0,360,86.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,31,335000.0,360,60.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,Joint,Joint,4,0,1,455000.0,360,220.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,825000.0,360,325.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,705000.0,360,320.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Sex Not Available,1,6,31,135000.0,120,126.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,325000.0,360,109.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,305000.0,360,124.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,455000.0,360,399.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,255000.0,360,101.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,375000.0,360,222.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,365000.0,180,160.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,275000.0,360,62.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,4,0,1,455000.0,360,204.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,71,1,455000.0,360,167.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,1,155000.0,360,53.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,345000.0,360,72.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Sex Not Available,1,6,1,265000.0,360,167.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,1,515000.0,360,129.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,31,185000.0,360,141.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,31,205000.0,180,95.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,445000.0,360,108.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,455000.0,360,161.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,905000.0,360,277.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,6,31,455000.0,360,121.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,1,315000.0,360,135.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,1,285000.0,360,127.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,6,1,275000.0,360,124.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,315000.0,360,107.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Joint,4,0,1,515000.0,360,106.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,6,1,115000.0,360,43.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,395000.0,360,150.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,175000.0,360,38.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,135000.0,240,104.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,31,545000.0,360,186.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,325000.0,360,276.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,1,455000.0,360,177.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,71,1,455000.0,360,312.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,295000.0,360,184.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,1,325000.0,360,238.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,245000.0,360,133.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,185000.0,360,94.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,335000.0,360,180.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,71,1,455000.0,360,204.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,295000.0,360,132.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,1,195000.0,360,110.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,1,355000.0,360,230.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,1,375000.0,360,99.0,65-74,10
